Project,2023-06-29 13:12:29,2023-06-29 14:53:27,1.68,null
Project,2023-06-29 19:15:08,2023-06-29 20:45:31,1.51,null
Project,2023-06-30 08:25:22,2023-06-30 10:02:45,1.62,null
Project,2023-06-30 14:33:03,2023-06-30 15:02:36,0.49,null
Project,2023-07-02 20:16:04,2023-07-02 21:11:24,0.92,null
Project,2023-07-03 06:47:44,2023-07-03 07:33:26,0.76,null
Project,2023-07-05 19:22:47,2023-07-05 19:57:39,0.58,null
Project,2023-07-06 14:14:47,2023-07-06 14:31:15,0.27,null
Blogging,2023-07-07 13:13:12,2023-07-07 14:18:47,1.09,null
Project,2023-07-09 18:31:07,2023-07-09 20:50:30,2.32,null
Study,2023-07-10 11:32:44,2023-07-10 11:59:09,0.44,Arithmetic Logic Unit
Study,2023-07-10 12:09:22,2023-07-10 12:34:23,0.42,Programming Throwdown podcast: origins of the internet
Project,2023-07-10 18:49:14,2023-07-10 20:23:14,1.57,null
Study,2023-07-11 06:57:24,2023-07-11 07:35:54,0.64,revise notes on computer architecture
Study,2023-07-11 07:35:57,2023-07-11 08:00:00,0.4,further notes on ALU
Project,2023-07-11 14:23:56,2023-07-11 14:38:18,0.24,code metrics website integration
Project,2023-07-11 18:55:35,2023-07-11 19:37:36,0.7,pocket api lambda
Study,2023-07-12 06:51:09,2023-07-12 07:45:00,0.9,ALU
Project,2023-07-13 06:56:35,2023-07-13 08:00:00,1.06,pocket api lambda
Project,2023-07-13 13:55:22,2023-07-13 16:05:53,2.18,pocket api lambda
Project,2023-07-13 20:09:56,2023-07-13 20:45:56,0.6,pocket api lambda
Project,2023-07-14 14:07:58,2023-07-14 16:00:00,1.87,pocket api lambda
Project,2023-07-14 20:23:44,2023-07-14 21:15:31,0.86,pocket api lambda
Study,2023-07-15 10:19:40,2023-07-15 11:44:35,1.42,memory
Project,2023-07-15 11:44:39,2023-07-15 12:44:27,1.0,pocket api lambda
Project,2023-07-15 12:47:46,2023-07-15 13:45:00,0.95,code metrics website integration
Project,2023-07-15 17:51:09,2023-07-15 18:27:20,0.6,pocket api lambda
Project,2023-07-16 10:56:44,2023-07-16 12:52:31,1.93,meridian
Project,2023-07-16 20:26:03,2023-07-16 21:25:33,0.99,pocket api lambda
Project,2023-07-17 19:17:16,2023-07-17 19:55:42,0.64,pocket api lambda
Study,2023-07-18 10:06:56,2023-07-18 10:22:58,0.27,python exercises
Project,2023-07-18 11:24:17,2023-07-18 12:32:47,1.14,pocket api lambda
Project,2023-07-18 14:48:54,2023-07-18 17:10:27,2.36,pocket api lambda
Project,2023-07-19 11:56:19,2023-07-19 13:52:24,1.93,pocket api lambda
Project,2023-07-19 14:41:13,2023-07-19 15:40:36,0.99,pocket api lambda
Project,2023-07-19 19:20:19,2023-07-19 20:40:19,1.33,pocket api lambda
Study,2023-07-20 08:41:25,2023-07-20 09:59:17,1.3,memory
Study,2023-07-20 10:36:27,2023-07-20 11:15:00,0.64,memory
Project,2023-07-20 11:57:43,2023-07-20 14:56:41,2.98,pocket api lambda
Project,2023-07-22 12:16:14,2023-07-22 13:29:51,1.23,meridian
Project,2023-07-22 14:22:22,2023-07-22 15:12:23,0.83,meridian
Project,2023-07-22 15:45:43,2023-07-22 18:45:00,2.99,pocket api lambda
Project,2023-07-30 18:58:03,2023-07-30 20:06:46,1.15,meridian
Project,2023-07-31 06:50:05,2023-07-31 07:44:42,0.91,meridian
Project,2023-07-31 21:11:37,2023-07-31 22:00:36,0.82,meridian
Project,2023-08-01 13:43:28,2023-08-01 15:06:31,1.38,meridian
Project,2023-08-02 14:18:33,2023-08-02 15:34:54,1.27,meridian
Project,2023-08-02 19:15:39,2023-08-02 20:38:41,1.38,pocket api lambda
Project,2023-08-02 20:38:57,2023-08-02 21:27:34,0.81,alienblood vscode theme
Project,2023-08-03 21:23:13,2023-08-03 21:34:19,0.18,pocket api lambda
Project,2023-08-04 08:30:00,2023-08-04 09:45:00,1.25,pocket api lambda
Project,2023-08-04 13:35:39,2023-08-04 13:35:42,0.0,meridian
Project,2023-08-04 13:35:44,2023-08-04 15:31:26,1.93,pocket api lambda-
Project,2023-08-06 18:59:41,2023-08-06 19:58:24,0.98,get AWS secret lambda
Project,2023-08-07 06:27:25,2023-08-07 07:41:23,1.23,get AWS secret lambda
Blogging,2023-08-07 19:13:38,2023-08-07 21:00:38,1.78,recommended articles blog post
Blogging,2023-08-08 07:01:13,2023-08-08 08:00:00,0.98,recommended articles blog post
Project,2023-08-08 20:13:06,2023-08-08 21:31:51,1.31,code metrics lambda
Project,2023-08-09 06:55:44,2023-08-09 07:37:15,0.69,code metrics lambda
Project,2023-08-09 19:48:15,2023-08-09 21:17:43,1.49,code metrics lambda
Project,2023-08-14 06:45:00,2023-08-14 08:00:00,1.25,alienblood vscode theme
Project,2023-08-14 18:55:55,2023-08-14 20:00:55,1.08,meridian
Project,2023-08-15 06:30:55,2023-08-15 06:47:03,0.27,meridian
Project,2023-08-15 07:13:03,2023-08-15 07:37:22,0.41,google sheets lambda
Exercise,2023-08-15 13:33:58,2023-08-15 14:30:00,0.93,python exercises
Exercise,2023-08-15 17:40:12,2023-08-15 17:53:10,0.22,python exercises
Exercise,2023-08-15 18:45:07,2023-08-15 19:56:48,1.19,python exercises
Project,2023-08-15 19:58:27,2023-08-15 21:08:45,1.17,meridian
Project,2023-08-16 08:30:27,2023-08-16 09:45:00,1.24,meridian
Project,2023-08-16 20:20:45,2023-08-16 21:36:28,1.26,meridian
Project,2023-08-17 18:30:33,2023-08-17 21:16:35,2.77,meridian
Study,2023-08-18 10:39:44,2023-08-18 12:33:21,1.89,python imports
Study,2023-08-18 19:55:57,2023-08-18 20:17:29,0.36,python imports
Exercise,2023-08-20 17:46:05,2023-08-20 19:46:23,2.0,python exercises
Project,2023-08-20 20:30:52,2023-08-20 22:24:03,1.89,create lambdas monorepo
Project,2023-08-21 06:55:00,2023-08-21 08:00:00,1.08,create lambdas monorepo
Project,2023-08-21 13:43:12,2023-08-21 14:39:26,0.94,create lambdas monorepo
Project,2023-08-21 18:28:45,2023-08-21 19:32:45,1.07,meridian
Project,2023-08-21 19:32:51,2023-08-21 19:55:28,0.38,google sheets lambda
Study,2023-08-21 20:50:04,2023-08-21 21:30:44,0.68,memory addresses
Project,2023-08-22 15:01:53,2023-08-22 16:25:38,1.4,google sheets lambda
Project,2023-08-23 16:01:49,2023-08-23 17:58:13,1.94,google sheets lambda
Blogging,2023-08-23 20:36:01,2023-08-23 21:12:37,0.61,updating blogs
Blogging,2023-08-23 21:12:39,2023-08-23 21:24:12,0.19,updating blogs
Project,2023-08-24 12:53:33,2023-08-24 13:22:01,0.47,google sheets lambda
Project,2023-08-24 20:24:11,2023-08-24 21:02:11,0.63,google sheets lambda
Study,2023-08-25 07:03:07,2023-08-25 08:00:00,0.95,memory addresses
Project,2023-08-25 10:13:03,2023-08-25 14:18:00,4.08,google sheets lambda
Project,2023-08-26 13:50:28,2023-08-26 15:57:55,2.12,google sheets lambda
Project,2023-08-27 20:12:32,2023-08-27 21:18:32,1.1,google sheets lambda
Study,2023-08-28 08:36:40,2023-08-28 09:30:00,0.89,python lambdas
Project,2023-08-28 10:10:45,2023-08-28 12:19:23,2.14,google sheets lambda
Project,2023-08-28 15:18:13,2023-08-28 17:00:00,1.7,google sheets lambda
Project,2023-08-28 18:57:11,2023-08-28 20:27:34,1.51,google sheets lambda
Project,2023-08-30 09:38:06,2023-08-30 10:38:09,1.0,save articles lambda
Project,2023-08-30 17:44:15,2023-08-30 18:37:50,0.89,save articles lambda
Project,2023-08-30 20:28:12,2023-08-30 21:00:12,0.53,save articles lambda
Study,2023-08-31 19:44:28,2023-08-31 20:45:00,1.01,list and dictionary methods
Study,2023-09-01 08:00:12,2023-09-01 09:45:38,1.76,improve python notes
Study,2023-09-04 07:00:28,2023-09-04 07:34:28,0.57,improve python notes
Project,2023-09-04 07:34:46,2023-09-04 08:14:34,0.66,save articles lambda
Project,2023-09-04 14:00:00,2023-09-04 16:15:00,2.25,save articles lambda
Study,2023-09-05 08:00:09,2023-09-05 08:45:53,0.76,list comprehension in python
Project,2023-09-08 08:00:00,2023-09-08 14:30:00,6.5,exlibris lambda
Project,2023-09-10 11:15:00,2023-09-10 18:30:00,7.25,exlibris lambda
Project,2023-09-11 07:15:00,2023-09-11 08:15:00,1.0,exlibris lambda
Study,2023-09-11 18:16:15,2023-09-11 18:41:49,0.43,improve python notes
Blogging,2023-09-11 18:42:07,2023-09-11 19:27:04,0.75,systems obscure color scheme
Blogging,2023-09-12 07:00:00,2023-09-12 08:15:00,1.25,systems obscure color scheme
Blogging,2023-09-12 13:33:26,2023-09-12 15:00:00,1.44,systems obscure color scheme
Study,2023-09-13 07:32:16,2023-09-13 08:45:00,1.21,list comprehension in python
Project,2023-09-18 19:00:00,2023-09-18 20:15:00,1.25,refactor saved-articles-lambda
Study,2023-09-19 07:21:39,2023-09-19 09:00:00,1.64,testing in python
Project,2023-09-19 20:39:03,2023-09-19 21:06:48,0.46,refactor saved-articles-lambda
Study,2023-09-20 14:09:06,2023-09-20 15:00:00,0.85,testing in python
Project,2023-09-20 19:00:28,2023-09-20 22:09:07,3.14,refactor saved-articles-lambda
Project,2023-09-21 19:09:38,2023-09-21 21:09:50,2.0,add tests pocket lambda
Blogging,2023-09-21 21:10:02,2023-09-21 21:39:54,0.5,pytest blog post
Blogging,2023-09-22 10:15:33,2023-09-22 10:30:05,0.24,pytest blog post
Project,2023-09-22 10:30:35,2023-09-22 13:11:48,2.69,refactor saved-articles-lambda
Project,2023-09-22 13:34:18,2023-09-22 13:55:56,0.36,refactor saved-articles-lambda
Project,2023-09-22 13:55:59,2023-09-22 15:25:20,1.49,add tests pocket lambda
Project,2023-09-23 12:00:02,2023-09-23 15:38:21,3.64,add tests pocket lambda
Project,2023-09-23 15:49:58,2023-09-23 16:28:37,0.64,toggl lambda
Project,2023-09-23 17:42:21,2023-09-23 18:24:16,0.7,toggl lambda
Project,2023-09-24 18:54:10,2023-09-24 22:36:30,3.71,toggl lambda
Project,2023-09-25 07:00:00,2023-09-25 07:53:54,0.9,toggl lambda
Project,2023-09-25 18:26:56,2023-09-25 21:30:10,3.05,toggl lambda
Blogging,2023-09-25 21:30:25,2023-09-25 21:37:28,0.12,systems obscure tweaks
